2011-06-19 20:19:02 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 11]
2011-06-19 20:19:13 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 10]
2011-06-19 20:19:13 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 11]
2011-06-19 20:19:32 Notice: Notice (8): Undefined index:  Product in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 9]
2011-06-19 20:19:53 Notice: Notice (8): Undefined index:  Product in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 9]
2011-06-19 20:20:07 Notice: Notice (8): Undefined index:  Product in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 9]
2011-06-19 20:24:06 Notice: Notice (8): Use of undefined constant php - assumed 'php' in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 6]
2011-06-19 21:09:32 Notice: Notice (8): Undefined property: View::$Html in [/Applications/MAMP/htdocs/smscanada/www/app/views/layouts/admin.ctp, line 49]
2011-06-19 22:20:23 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/elements/categories.ctp, line 14]
2011-06-19 22:25:28 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/elements/categories.ctp, line 13]
2011-06-19 22:25:31 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/elements/categories.ctp, line 13]
2011-09-16 19:51:24 Notice: Notice (8): Undefined property: View::$Form in [/Users/mathias/Sites/smscanada_php/www/app/views/users/register.ctp, line 2]
2011-09-16 20:51:04 Notice: Notice (8): Undefined property: ProductsController::$Products in [/Users/mathias/Sites/smscanada_php/www/app/controllers/products_controller.php, line 22]
2011-09-16 20:51:18 Notice: Notice (8): Undefined property: ProductsController::$Products in [/Users/mathias/Sites/smscanada_php/www/app/controllers/products_controller.php, line 22]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: Products in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 12]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 20]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 25]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 30]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 35]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 40]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 45]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 50]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 55]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 60]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 66]
2011-09-16 20:55:53 Notice: Notice (8): Undefined variable: product in [/Users/mathias/Sites/smscanada_php/www/app/views/products/view.ctp, line 71]
